camera_id,camera_name,source,url,ok,status,ctype,ms,err
1,Cherry Grove Beach SC,http://104.235.250.133/public.php,http://104.235.250.133/public.php,False,,,8042,ConnectTimeout: 
7,Westford MA,http://44.193.130.226/allsky/index.php,http://44.193.130.226/allsky/image.jpg,False,,,8041,ConnectTimeout: 
11,HawleyTx,http://66.76.180.115/allsky/,http://66.76.180.115/allsky/image.jpg,False,,,8041,ConnectTimeout: 
13,Santiago del Teide,http://80.102.219.39/allsky/,http://80.102.219.39/overlay/imagethumbnails/small6888.jpeg,False,,,8041,ConnectTimeout: 
15,Capelas - S. Miguel,http://85.243.77.75/allsky,http://85.243.77.75/images/20260112/image-20260112185624.jpg,False,404,text/html,394,
16,Rixheim France,http://91.162.94.74:26600/allsky/,http://91.162.94.74:26600/allsky/image.jpg,False,400,text/html; charset=iso-8859-1,285,
19,Elektrenai,http://allskaj.tplinkdns.com/allsky/,http://allskaj.tplinkdns.com/allsky/image.jpg,False,,,7222,ConnectError: All connection attempts failed
20,ELEKTRENAI,http://allskaj.tplinkdns.com/allsky/,http://allskaj.tplinkdns.com/current/tmp/image.jpg,False,,,7223,ConnectError: All connection attempts failed
22,Mississauga ON,http://allsky.awcloud.ca/allsky/,http://allsky.awcloud.ca/allsky/image.jpg,False,,,8044,ConnectTimeout: 
28,ISPRA (VA) - ITALY,http://allsky.rf.gd,http://allsky.rf.gd/image.jpg,False,404,text/html,271,
29,Loehne,http://allsky/allsky/index.php,http://allsky/current/tmp/image.jpg,False,,,45,"ConnectError: [Errno 8] nodename nor servname provided, or not known"
34,Purac̩ volcano,,http://amenazas.sgc.gov.co/webcam/popayan/Purace/imagen_web.jpg,False,,,8044,ConnectTimeout: 
35,Nevado del Huila volcano,,http://amenazas.sgc.gov.co/webcam/popayan/Tafxnu/imagen_web.jpg,False,,,8044,ConnectTimeout: 
36,Ancient Pines Observatory - Hartford ME,http://ancientpines.ddns.net/allsky/,http://ancientpines.ddns.net/current/tmp/image.jpg,False,,,8044,ConnectTimeout: 
67,Edinburg,,http://api.nysmesonet.org/cam/index.php/image/nysm/EDIN,False,404,application/json,164,
101,Saranac,,http://api.nysmesonet.org/cam/index.php/image/nysm/SARA,False,404,application/json,5181,
125,Melbourne Australia,http://ascims.ddns.net/allsky/,http://ascims.ddns.net/current/tmp/image.jpg,False,,,8034,ConnectTimeout: 
138,Saintes,http://cam.astroclics.fr/allsky,http://cam.astroclics.fr/current/tmp/image.jpg?_ts=1767644566823,False,503,text/html; charset=iso-8859-1,4793,
140,Clemson University Fort Hill,,http://camera.clemson.edu/fort-hill/fullsize.jpg,False,,,8033,ConnectTimeout: 
148,Downtown Birmingham,,http://cams.almeso.net/lapses/birmingham/lapseimage.jpg,False,403,text/html; charset=iso-8859-1,729,
149,clarkeema,,http://cams.almeso.net/lapses/clarkeema/lapseimage.jpg,False,403,text/html; charset=iso-8859-1,728,
