id,img_x,img_y,map_lat,map_lng,map_altitude
1,1889,1856,43.06898583877598,-89.40761025835764,261.7838134765625
2,2246,1636,43.068111841359155,-89.40918357522844,261.3148193359375
3,1793,1654,43.06767540021249,-89.4079771234098,259.9282836914062
4,398,1808,43.06898428027292,-89.40506568251156,260.5240173339844
5,1286,1678,43.06782108414677,-89.40653934717271,259.1670532226562
6,1224,1619,43.067246559019374,-89.40629941412158,259.6234130859375
