filename,x,y
14_53_08.trig+00,2184,397
13_54_38.trig+00,1797,349
12_56_18.trig+00,1419,335
11_59_48.trig+00,1070,345
11_04_08.trig+00,713,393
09_50_38.trig+00,216,503


